Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U10	r3	4.965	6.145	4.869	6.030	5.062	6.260	Top	50.0
U10	r3	6.977	4.177	7.100	4.263	6.854	4.091	Top	-145.0
U10	r3	3.046	3.879	3.143	3.994	2.950	3.764	Top	-130.0
U10	r3	1.035	5.847	0.912	5.761	1.158	5.933	Top	35.0
U10_1_1	r3	4.890	6.297	4.846	6.153	4.934	6.440	Top	73.0
U10_1_1	r3	7.012	4.001	7.108	4.116	6.916	3.886	Top	-130.0
U10_1_1	r3	3.122	3.727	3.166	3.871	3.078	3.584	Top	-107.0
U10_1_1	r3	1.000	6.023	0.903	5.908	1.096	6.138	Top	50.0
U10_2	r3	4.801	5.581	4.827	5.433	4.775	5.729	Top	100.0
U10_2	r3	7.143	4.741	7.156	4.891	7.129	4.592	Top	-95.0
U10_2	r3	3.211	4.443	3.185	4.591	3.237	4.295	Top	-80.0
U10_2	r3	0.869	5.283	0.856	5.134	0.882	5.433	Top	85.0
U10_2_1	r3	4.056	3.681	4.056	3.831	4.056	3.531	Top	-90.0
U10_2_1_1	r3	4.415	5.742	4.415	5.592	4.415	5.892	Top	90.0
U10_2_1_1_1	r3	4.428	5.297	4.428	5.147	4.428	5.447	Top	90.0
U10_2_1_1_2	r3	4.259	5.346	4.259	5.196	4.259	5.496	Top	90.0
U10_2_1_2	r3	4.053	4.184	4.053	4.334	4.053	4.034	Top	-90.0
U10_2_1_3	r3	3.881	4.463	3.855	4.610	3.907	4.315	Top	-80.0
U10_2_1_3_1	r3	4.582	4.994	4.608	4.847	4.556	5.142	Top	100.0
U10_2_1_4	r3	4.549	4.259	4.600	4.400	4.497	4.118	Top	-110.0
U10_2_1_4_1	r3	3.950	5.250	3.950	5.100	3.950	5.400	Top	90.0
U10_2_2	r3	4.167	3.588	4.167	3.738	4.167	3.438	Top	-90.0
U10_2_2_1	r3	4.255	5.794	4.255	5.644	4.255	5.944	Top	90.0
U10_2_2_2	r3	4.186	4.121	4.186	4.271	4.186	3.971	Top	-90.0
U10_2_3	r3	4.918	5.642	4.916	5.492	4.921	5.792	Top	89.0
U10_2_3	r3	3.094	4.382	3.096	4.532	3.091	4.232	Top	-91.0
U10_3	r3	7.272	6.543	7.298	6.395	7.246	6.691	Top	100.0
U10_3	r3	4.702	3.802	4.741	3.947	4.663	3.657	Top	-105.0
U10_3	r3	0.740	3.481	0.714	3.629	0.766	3.334	Top	-80.0
U10_3	r3	3.310	6.222	3.271	6.077	3.349	6.367	Top	75.0
U10_3_1	r3	7.117	6.589	7.125	6.439	7.110	6.739	Top	93.0
U10_3_1	r3	4.828	3.756	4.879	3.897	4.777	3.615	Top	-110.0
U10_3_1	r3	0.894	3.435	0.887	3.585	0.902	3.285	Top	-87.0
U10_3_1	r3	3.184	6.268	3.132	6.127	3.235	6.409	Top	70.0
U10_3_1_1	r3	6.934	7.554	6.887	7.411	6.980	7.697	Top	72.0
U10_3_1_1	r3	1.078	2.470	1.124	2.613	1.032	2.327	Top	-108.0
U10_3_1_2	r3	4.848	2.645	4.861	2.795	4.835	2.496	Top	-95.0
U10_3_1_2	r3	3.164	7.379	3.151	7.230	3.177	7.529	Top	85.0
U10_3_2	r3	3.625	5.130	3.700	5.000	3.550	5.260	Top	120.0
U10_3_3	r3	3.775	5.155	3.850	5.025	3.700	5.285	Top	120.0
U10_3_4	r3	5.135	3.420	5.135	3.570	5.135	3.270	Top	-90.0
U10_3_4	r3	2.877	6.604	2.877	6.454	2.877	6.754	Top	90.0
U10_3_4_1	r3	4.991	3.310	4.991	3.460	4.991	3.160	Top	-90.0
U10_3_4_1	r3	3.020	6.715	3.020	6.565	3.020	6.865	Top	90.0
U10_5	r3	7.306	5.982	7.306	5.832	7.306	6.132	Top	90.0
U10_5	r3	4.946	4.624	4.920	4.772	4.972	4.476	Top	-80.0
U10_5	r3	0.706	4.042	0.706	4.192	0.706	3.892	Top	-90.0
U10_5	r3	3.066	5.400	3.092	5.253	3.040	5.548	Top	100.0
U10_5_1	r3	7.188	6.013	7.188	5.863	7.188	6.163	Top	90.0
U10_5_1	r3	0.824	4.012	0.824	4.162	0.824	3.862	Top	-90.0
U11	qnpn	4.640	6.519	4.640	6.519	4.640	6.519	Top	106.0
U11	qnpn	7.218	3.729	7.218	3.729	7.218	3.729	Top	-90.0
U11	qnpn	3.372	3.506	3.372	3.506	3.372	3.506	Top	-74.0
U11	qnpn	0.794	6.295	0.794	6.295	0.794	6.295	Top	90.0
U11_1	qnpn	7.151	6.919	7.151	6.919	7.151	6.919	Top	-70.0
U11_1	qnpn	4.815	3.417	4.815	3.417	4.815	3.417	Top	110.0
U11_1	qnpn	0.861	3.105	0.861	3.105	0.861	3.105	Top	110.0
U11_1	qnpn	3.197	6.607	3.197	6.607	3.197	6.607	Top	-70.0
U11_1_1	qnpn	6.782	7.883	6.782	7.883	6.782	7.883	Top	-84.0
U11_1_1	qnpn	1.230	2.141	1.230	2.141	1.230	2.141	Top	96.0
U11_1_1_1	qnpn	6.620	2.774	6.620	2.774	6.620	2.774	Top	160.0
U11_1_1_1	qnpn	1.392	7.251	1.392	7.251	1.392	7.251	Top	-20.0
U11_1_1_1_1	qnpn	6.267	2.591	6.267	2.591	6.267	2.591	Top	115.0
U11_1_1_1_1	qnpn	1.745	7.434	1.745	7.434	1.745	7.434	Top	-65.0
U11_1_1_1_1_1	qnpn	6.002	2.609	6.002	2.609	6.002	2.609	Top	120.0
U11_1_1_1_1_1	qnpn	2.010	7.415	2.010	7.415	2.010	7.415	Top	-60.0
U11_1_1_1_1_2	qnpn	5.598	2.656	5.598	2.656	5.598	2.656	Top	154.0
U11_1_1_1_1_2	qnpn	2.414	7.369	2.414	7.369	2.414	7.369	Top	-26.0
U11_1_2	qnpn	5.037	2.457	5.037	2.457	5.037	2.457	Top	140.0
U11_1_2	qnpn	2.975	7.567	2.975	7.567	2.975	7.567	Top	-40.0
U11_2	qnpn	4.662	7.230	4.662	7.230	4.662	7.230	Top	120.0
U11_2	qnpn	3.349	2.794	3.349	2.794	3.349	2.794	Top	-60.0
U11_3	qnpn	7.151	2.963	7.151	2.963	7.151	2.963	Top	-70.0
U11_3	qnpn	0.861	7.061	0.861	7.061	0.861	7.061	Top	110.0
U12	qpnp	4.785	6.549	4.785	6.549	4.785	6.549	Top	-87.0
U12	qpnp	7.058	3.750	7.058	3.750	7.058	3.750	Top	90.0
U12	qpnp	3.227	3.476	3.227	3.476	3.227	3.476	Top	93.0
U12	qpnp	0.954	6.274	0.954	6.274	0.954	6.274	Top	-90.0
U12_1	qpnp	7.525	6.900	7.525	6.900	7.525	6.900	Top	100.0
U12_1	qpnp	4.386	3.129	4.386	3.129	4.386	3.129	Top	-60.0
U12_1	qpnp	0.487	3.125	0.487	3.125	0.487	3.125	Top	-80.0
U12_1	qpnp	3.626	6.895	3.626	6.895	3.626	6.895	Top	120.0
U12_1_1	qpnp	7.103	7.890	7.103	7.890	7.103	7.890	Top	93.0
U12_1_1	qpnp	0.909	2.134	0.909	2.134	0.909	2.134	Top	-87.0
U12_1_2	qpnp	4.672	2.180	4.672	2.180	4.672	2.180	Top	-60.0
U12_1_2	qpnp	3.340	7.844	3.340	7.844	3.340	7.844	Top	120.0
U12_2	qpnp	4.886	7.368	4.886	7.368	4.886	7.368	Top	-73.0
U12_2	qpnp	3.125	2.656	3.125	2.656	3.125	2.656	Top	107.0
U12_3	qpnp	5.583	8.460	5.583	8.460	5.583	8.460	Top	155.0
U12_3	qpnp	6.246	1.692	6.246	1.692	6.246	1.692	Top	-30.0
U12_3	qpnp	2.429	1.565	2.429	1.565	2.429	1.565	Top	-25.0
U12_3	qpnp	1.766	8.332	1.766	8.332	1.766	8.332	Top	150.0
U12_3_1	qpnp	5.555	9.132	5.555	9.132	5.555	9.132	Top	-90.0
U12_3_1	qpnp	6.199	1.103	6.199	1.103	6.199	1.103	Top	80.0
U12_3_1	qpnp	2.456	0.892	2.456	0.892	2.456	0.892	Top	90.0
U12_3_1	qpnp	1.813	8.922	1.813	8.922	1.813	8.922	Top	-100.0
U12_3_2	qpnp	5.320	9.098	5.320	9.098	5.320	9.098	Top	-90.0
U12_3_2	qpnp	6.485	1.096	6.485	1.096	6.485	1.096	Top	85.0
U12_3_2	qpnp	2.692	0.926	2.692	0.926	2.692	0.926	Top	90.0
U12_3_2	qpnp	1.527	8.929	1.527	8.929	1.527	8.929	Top	-95.0
U12_3_3	qpnp	4.938	8.962	4.938	8.962	4.938	8.962	Top	-80.0
U12_3_3	qpnp	6.957	1.208	6.957	1.208	6.957	1.208	Top	90.0
U12_3_3	qpnp	3.074	1.062	3.074	1.062	3.074	1.062	Top	100.0
U12_3_3	qpnp	1.055	8.816	1.055	8.816	1.055	8.816	Top	-90.0
U12_3_4	qpnp	4.381	8.720	4.381	8.720	4.381	8.720	Top	-56.0
U12_3_4	qpnp	7.687	1.469	7.687	1.469	7.687	1.469	Top	110.0
